Name: JMH
Date: 7-7-21
Ansatz: VQLS
Machine: ibmq_mumbai
Qubits to use: 0 1 4 7 10 
Qubits: 5
Layers: 5
Shots: 8192
Noise Setting: 7
Number of Runs: 12
Problem Index: 25
{00000: 476, 00001: 446, 10000: 79, 10001: 56, 10010: 100, 10011: 120, 10100: 195, 10101: 147, 10110: 101, 10111: 77, 11000: 52, 11001: 49, 11010: 47, 11011: 68, 11100: 65, 11101: 48, 11110: 52, 11111: 53, 00010: 605, 00011: 734, 00100: 828, 00101: 667, 00110: 802, 00111: 703, 01000: 114, 01001: 156, 01010: 164, 01011: 229, 01100: 335, 01101: 207, 01110: 244, 01111: 173}
{00000: 473, 00001: 475, 10000: 96, 10001: 126, 10010: 125, 10011: 124, 10100: 158, 10101: 137, 10110: 104, 10111: 103, 11000: 34, 11001: 33, 11010: 52, 11011: 84, 11100: 29, 11101: 60, 11110: 28, 11111: 30, 00010: 689, 00011: 749, 00100: 702, 00101: 704, 00110: 514, 00111: 505, 01000: 209, 01001: 203, 01010: 268, 01011: 296, 01100: 363, 01101: 345, 01110: 208, 01111: 166}
{00000: 573, 00001: 571, 10000: 81, 10001: 73, 10010: 150, 10011: 149, 10100: 107, 10101: 205, 10110: 74, 10111: 52, 11000: 60, 11001: 59, 11010: 36, 11011: 22, 11100: 82, 11101: 32, 11110: 79, 11111: 92, 00010: 774, 00011: 567, 00100: 685, 00101: 699, 00110: 613, 00111: 464, 01000: 221, 01001: 215, 01010: 261, 01011: 258, 01100: 270, 01101: 300, 01110: 213, 01111: 155}
{00000: 525, 00001: 419, 10000: 140, 10001: 121, 10010: 143, 10011: 201, 10100: 151, 10101: 170, 10110: 121, 10111: 108, 11000: 45, 11001: 32, 11010: 25, 11011: 27, 11100: 33, 11101: 33, 11110: 42, 11111: 43, 00010: 602, 00011: 797, 00100: 697, 00101: 529, 00110: 594, 00111: 627, 01000: 192, 01001: 193, 01010: 251, 01011: 273, 01100: 338, 01101: 239, 01110: 274, 01111: 207}
{00000: 580, 00001: 543, 10000: 99, 10001: 71, 10010: 115, 10011: 187, 10100: 125, 10101: 156, 10110: 121, 10111: 86, 11000: 67, 11001: 56, 11010: 44, 11011: 33, 11100: 24, 11101: 18, 11110: 37, 11111: 31, 00010: 692, 00011: 715, 00100: 713, 00101: 603, 00110: 718, 00111: 630, 01000: 181, 01001: 157, 01010: 232, 01011: 240, 01100: 263, 01101: 227, 01110: 244, 01111: 184}
{00000: 556, 00001: 514, 10000: 115, 10001: 126, 10010: 133, 10011: 122, 10100: 170, 10101: 149, 10110: 90, 10111: 60, 11000: 56, 11001: 43, 11010: 44, 11011: 45, 11100: 61, 11101: 28, 11110: 77, 11111: 78, 00010: 707, 00011: 615, 00100: 688, 00101: 523, 00110: 550, 00111: 458, 01000: 267, 01001: 243, 01010: 313, 01011: 269, 01100: 380, 01101: 253, 01110: 276, 01111: 183}
{00000: 557, 00001: 499, 10000: 139, 10001: 131, 10010: 169, 10011: 147, 10100: 154, 10101: 182, 10110: 150, 10111: 75, 11000: 50, 11001: 32, 11010: 20, 11011: 50, 11100: 28, 11101: 27, 11110: 30, 11111: 45, 00010: 613, 00011: 706, 00100: 693, 00101: 601, 00110: 674, 00111: 507, 01000: 186, 01001: 185, 01010: 217, 01011: 261, 01100: 331, 01101: 279, 01110: 283, 01111: 171}
{00000: 458, 00001: 418, 10000: 73, 10001: 94, 10010: 72, 10011: 91, 10100: 180, 10101: 121, 10110: 81, 10111: 95, 11000: 60, 11001: 31, 11010: 35, 11011: 65, 11100: 41, 11101: 56, 11110: 31, 11111: 38, 00010: 585, 00011: 803, 00100: 788, 00101: 695, 00110: 557, 00111: 503, 01000: 173, 01001: 180, 01010: 234, 01011: 332, 01100: 458, 01101: 388, 01110: 273, 01111: 183}
{00000: 486, 00001: 435, 10000: 129, 10001: 126, 10010: 99, 10011: 125, 10100: 222, 10101: 120, 10110: 131, 10111: 129, 11000: 48, 11001: 35, 11010: 46, 11011: 53, 11100: 37, 11101: 68, 11110: 29, 11111: 30, 00010: 579, 00011: 817, 00100: 702, 00101: 539, 00110: 608, 00111: 517, 01000: 203, 01001: 183, 01010: 217, 01011: 292, 01100: 387, 01101: 323, 01110: 282, 01111: 195}
{00000: 711, 00001: 544, 10000: 183, 10001: 126, 10010: 176, 10011: 189, 10100: 140, 10101: 154, 10110: 122, 10111: 101, 11000: 43, 11001: 44, 11010: 36, 11011: 70, 11100: 38, 11101: 32, 11110: 33, 11111: 34, 00010: 709, 00011: 721, 00100: 580, 00101: 488, 00110: 472, 00111: 557, 01000: 289, 01001: 191, 01010: 290, 01011: 294, 01100: 245, 01101: 231, 01110: 180, 01111: 169}
{00000: 532, 00001: 538, 10000: 146, 10001: 101, 10010: 151, 10011: 194, 10100: 167, 10101: 188, 10110: 117, 10111: 90, 11000: 48, 11001: 51, 11010: 36, 11011: 56, 11100: 54, 11101: 52, 11110: 54, 11111: 50, 00010: 571, 00011: 682, 00100: 771, 00101: 577, 00110: 644, 00111: 530, 01000: 184, 01001: 168, 01010: 229, 01011: 305, 01100: 305, 01101: 220, 01110: 207, 01111: 174}
{00000: 548, 00001: 575, 10000: 160, 10001: 120, 10010: 165, 10011: 233, 10100: 163, 10101: 233, 10110: 122, 10111: 91, 11000: 50, 11001: 33, 11010: 22, 11011: 26, 11100: 32, 11101: 19, 11110: 51, 11111: 22, 00010: 676, 00011: 629, 00100: 636, 00101: 627, 00110: 712, 00111: 581, 01000: 153, 01001: 162, 01010: 206, 01011: 266, 01100: 260, 01101: 236, 01110: 227, 01111: 156}
