Name: JMH
Date: 8-4-21
Ansatz: VLS
Machine: ibmq_mumbai
Qubits to use: 0 1 4 7 10 
Qubits: 5
Layers: 5
Noise Setting: 7
Number of Runs: 12
Problem Index: 0
Shots: 8192
{00000: 857, 00001: 696, 10000: 71, 10001: 40, 10010: 52, 10011: 48, 10100: 65, 10101: 62, 10110: 38, 10111: 22, 11000: 78, 11001: 60, 11010: 31, 11011: 34, 11100: 36, 11101: 52, 11110: 29, 11111: 22, 00010: 862, 00011: 570, 00100: 891, 00101: 781, 00110: 344, 00111: 127, 01000: 342, 01001: 304, 01010: 407, 01011: 281, 01100: 402, 01101: 376, 01110: 145, 01111: 67}
{00000: 807, 00001: 698, 10000: 122, 10001: 89, 10010: 93, 10011: 55, 10100: 130, 10101: 87, 10110: 39, 10111: 24, 11000: 41, 11001: 26, 11010: 24, 11011: 31, 11100: 29, 11101: 24, 11110: 28, 11111: 20, 00010: 825, 00011: 535, 00100: 1104, 00101: 875, 00110: 362, 00111: 120, 01000: 230, 01001: 245, 01010: 388, 01011: 256, 01100: 413, 01101: 303, 01110: 112, 01111: 57}
{00000: 973, 00001: 714, 10000: 47, 10001: 43, 10010: 67, 10011: 80, 10100: 68, 10101: 59, 10110: 21, 10111: 10, 11000: 85, 11001: 66, 11010: 35, 11011: 39, 11100: 37, 11101: 31, 11110: 38, 11111: 15, 00010: 814, 00011: 555, 00100: 958, 00101: 795, 00110: 409, 00111: 101, 01000: 308, 01001: 260, 01010: 365, 01011: 256, 01100: 399, 01101: 329, 01110: 146, 01111: 69}
{00000: 733, 00001: 597, 10000: 87, 10001: 57, 10010: 61, 10011: 56, 10100: 128, 10101: 70, 10110: 45, 10111: 27, 11000: 57, 11001: 28, 11010: 30, 11011: 30, 11100: 38, 11101: 32, 11110: 22, 11111: 27, 00010: 745, 00011: 505, 00100: 1293, 00101: 898, 00110: 515, 00111: 162, 01000: 244, 01001: 187, 01010: 272, 01011: 268, 01100: 413, 01101: 314, 01110: 183, 01111: 68}
{00000: 709, 00001: 622, 10000: 64, 10001: 57, 10010: 71, 10011: 51, 10100: 136, 10101: 96, 10110: 42, 10111: 25, 11000: 56, 11001: 35, 11010: 20, 11011: 25, 11100: 33, 11101: 22, 11110: 22, 11111: 22, 00010: 693, 00011: 564, 00100: 1272, 00101: 870, 00110: 437, 00111: 131, 01000: 259, 01001: 219, 01010: 308, 01011: 281, 01100: 484, 01101: 344, 01110: 160, 01111: 62}
{00000: 939, 00001: 803, 10000: 75, 10001: 64, 10010: 67, 10011: 55, 10100: 87, 10101: 70, 10110: 25, 10111: 16, 11000: 69, 11001: 42, 11010: 26, 11011: 31, 11100: 20, 11101: 25, 11110: 18, 11111: 15, 00010: 707, 00011: 457, 00100: 1043, 00101: 832, 00110: 452, 00111: 114, 01000: 357, 01001: 258, 01010: 319, 01011: 278, 01100: 420, 01101: 322, 01110: 142, 01111: 44}
{00000: 895, 00001: 833, 10000: 36, 10001: 38, 10010: 52, 10011: 35, 10100: 87, 10101: 55, 10110: 34, 10111: 18, 11000: 89, 11001: 64, 11010: 32, 11011: 40, 11100: 47, 11101: 52, 11110: 25, 11111: 25, 00010: 781, 00011: 532, 00100: 1006, 00101: 833, 00110: 417, 00111: 142, 01000: 296, 01001: 284, 01010: 291, 01011: 257, 01100: 405, 01101: 312, 01110: 123, 01111: 56}
{00000: 770, 00001: 718, 10000: 71, 10001: 69, 10010: 61, 10011: 45, 10100: 103, 10101: 65, 10110: 48, 10111: 21, 11000: 28, 11001: 28, 11010: 22, 11011: 25, 11100: 9, 11101: 29, 11110: 11, 11111: 22, 00010: 755, 00011: 445, 00100: 1038, 00101: 795, 00110: 440, 00111: 145, 01000: 334, 01001: 311, 01010: 421, 01011: 262, 01100: 545, 01101: 320, 01110: 146, 01111: 90}
{00000: 683, 00001: 628, 10000: 74, 10001: 58, 10010: 80, 10011: 38, 10100: 131, 10101: 73, 10110: 34, 10111: 19, 11000: 40, 11001: 26, 11010: 27, 11011: 36, 11100: 36, 11101: 43, 11110: 26, 11111: 17, 00010: 878, 00011: 484, 00100: 1184, 00101: 869, 00110: 398, 00111: 123, 01000: 263, 01001: 243, 01010: 347, 01011: 233, 01100: 549, 01101: 362, 01110: 142, 01111: 48}
{00000: 820, 00001: 724, 10000: 40, 10001: 34, 10010: 36, 10011: 36, 10100: 87, 10101: 40, 10110: 29, 10111: 14, 11000: 97, 11001: 55, 11010: 55, 11011: 34, 11100: 41, 11101: 51, 11110: 30, 11111: 17, 00010: 749, 00011: 503, 00100: 961, 00101: 783, 00110: 427, 00111: 133, 01000: 323, 01001: 335, 01010: 337, 01011: 271, 01100: 496, 01101: 380, 01110: 182, 01111: 72}
{00000: 867, 00001: 653, 10000: 56, 10001: 44, 10010: 64, 10011: 63, 10100: 65, 10101: 50, 10110: 34, 10111: 28, 11000: 49, 11001: 46, 11010: 39, 11011: 40, 11100: 28, 11101: 55, 11110: 22, 11111: 20, 00010: 781, 00011: 639, 00100: 1014, 00101: 758, 00110: 482, 00111: 131, 01000: 274, 01001: 245, 01010: 350, 01011: 377, 01100: 395, 01101: 294, 01110: 167, 01111: 62}
{00000: 827, 00001: 730, 10000: 76, 10001: 63, 10010: 66, 10011: 54, 10100: 118, 10101: 58, 10110: 28, 10111: 22, 11000: 45, 11001: 34, 11010: 29, 11011: 34, 11100: 36, 11101: 34, 11110: 18, 11111: 24, 00010: 618, 00011: 486, 00100: 1264, 00101: 747, 00110: 455, 00111: 187, 01000: 264, 01001: 255, 01010: 337, 01011: 278, 01100: 513, 01101: 284, 01110: 139, 01111: 69}
