Name: JMH
Date: 8-4-21
Ansatz: VQLS
Machine: ibmq_mumbai
Qubits to use: 0 1 4 7 10 
Qubits: 5
Layers: 5
Noise Setting: 7
Number of Runs: 12
Problem Index: 0
Shots: 8192
{00000: 708, 00001: 679, 10000: 76, 10001: 61, 10010: 87, 10011: 87, 10100: 140, 10101: 89, 10110: 56, 10111: 32, 11000: 108, 11001: 79, 11010: 79, 11011: 67, 11100: 64, 11101: 56, 11110: 42, 11111: 30, 00010: 811, 00011: 550, 00100: 857, 00101: 670, 00110: 548, 00111: 248, 01000: 243, 01001: 273, 01010: 309, 01011: 243, 01100: 376, 01101: 259, 01110: 183, 01111: 82}
{00000: 734, 00001: 672, 10000: 76, 10001: 56, 10010: 80, 10011: 50, 10100: 176, 10101: 101, 10110: 62, 10111: 39, 11000: 69, 11001: 42, 11010: 55, 11011: 57, 11100: 51, 11101: 49, 11110: 32, 11111: 18, 00010: 789, 00011: 603, 00100: 1054, 00101: 610, 00110: 479, 00111: 244, 01000: 264, 01001: 225, 01010: 307, 01011: 224, 01100: 472, 01101: 246, 01110: 180, 01111: 76}
{00000: 716, 00001: 648, 10000: 99, 10001: 81, 10010: 109, 10011: 86, 10100: 145, 10101: 140, 10110: 64, 10111: 27, 11000: 45, 11001: 41, 11010: 32, 11011: 37, 11100: 49, 11101: 40, 11110: 37, 11111: 29, 00010: 771, 00011: 511, 00100: 953, 00101: 819, 00110: 556, 00111: 260, 01000: 201, 01001: 216, 01010: 325, 01011: 218, 01100: 377, 01101: 290, 01110: 174, 01111: 96}
{00000: 662, 00001: 604, 10000: 76, 10001: 68, 10010: 95, 10011: 67, 10100: 165, 10101: 102, 10110: 71, 10111: 27, 11000: 69, 11001: 67, 11010: 60, 11011: 41, 11100: 62, 11101: 36, 11110: 37, 11111: 30, 00010: 795, 00011: 565, 00100: 889, 00101: 701, 00110: 619, 00111: 263, 01000: 241, 01001: 236, 01010: 282, 01011: 241, 01100: 396, 01101: 282, 01110: 245, 01111: 98}
{00000: 721, 00001: 612, 10000: 59, 10001: 56, 10010: 71, 10011: 75, 10100: 121, 10101: 107, 10110: 50, 10111: 35, 11000: 100, 11001: 82, 11010: 51, 11011: 41, 11100: 73, 11101: 42, 11110: 54, 11111: 32, 00010: 725, 00011: 571, 00100: 1028, 00101: 672, 00110: 472, 00111: 210, 01000: 267, 01001: 289, 01010: 330, 01011: 273, 01100: 429, 01101: 267, 01110: 171, 01111: 106}
{00000: 745, 00001: 670, 10000: 87, 10001: 75, 10010: 135, 10011: 77, 10100: 132, 10101: 123, 10110: 49, 10111: 19, 11000: 74, 11001: 52, 11010: 44, 11011: 41, 11100: 64, 11101: 44, 11110: 50, 11111: 36, 00010: 818, 00011: 489, 00100: 1096, 00101: 666, 00110: 550, 00111: 246, 01000: 253, 01001: 259, 01010: 328, 01011: 241, 01100: 333, 01101: 210, 01110: 128, 01111: 58}
{00000: 706, 00001: 623, 10000: 70, 10001: 71, 10010: 84, 10011: 93, 10100: 146, 10101: 122, 10110: 60, 10111: 25, 11000: 61, 11001: 57, 11010: 43, 11011: 23, 11100: 46, 11101: 28, 11110: 46, 11111: 24, 00010: 776, 00011: 494, 00100: 1095, 00101: 730, 00110: 574, 00111: 247, 01000: 260, 01001: 227, 01010: 302, 01011: 204, 01100: 425, 01101: 261, 01110: 187, 01111: 82}
{00000: 682, 00001: 619, 10000: 89, 10001: 88, 10010: 99, 10011: 54, 10100: 185, 10101: 104, 10110: 80, 10111: 32, 11000: 66, 11001: 44, 11010: 54, 11011: 40, 11100: 42, 11101: 63, 11110: 33, 11111: 22, 00010: 743, 00011: 522, 00100: 1036, 00101: 751, 00110: 465, 00111: 201, 01000: 280, 01001: 270, 01010: 287, 01011: 233, 01100: 443, 01101: 308, 01110: 171, 01111: 86}
{00000: 633, 00001: 678, 10000: 64, 10001: 55, 10010: 90, 10011: 69, 10100: 138, 10101: 91, 10110: 66, 10111: 32, 11000: 67, 11001: 62, 11010: 60, 11011: 35, 11100: 37, 11101: 46, 11110: 29, 11111: 27, 00010: 867, 00011: 562, 00100: 988, 00101: 723, 00110: 555, 00111: 249, 01000: 240, 01001: 246, 01010: 271, 01011: 237, 01100: 416, 01101: 283, 01110: 180, 01111: 96}
{00000: 731, 00001: 672, 10000: 80, 10001: 90, 10010: 71, 10011: 79, 10100: 118, 10101: 84, 10110: 71, 10111: 33, 11000: 66, 11001: 35, 11010: 36, 11011: 40, 11100: 51, 11101: 46, 11110: 40, 11111: 23, 00010: 775, 00011: 601, 00100: 828, 00101: 625, 00110: 549, 00111: 283, 01000: 284, 01001: 294, 01010: 315, 01011: 242, 01100: 429, 01101: 288, 01110: 208, 01111: 105}
{00000: 748, 00001: 606, 10000: 105, 10001: 69, 10010: 101, 10011: 87, 10100: 157, 10101: 114, 10110: 70, 10111: 35, 11000: 55, 11001: 41, 11010: 42, 11011: 37, 11100: 56, 11101: 24, 11110: 29, 11111: 28, 00010: 839, 00011: 626, 00100: 917, 00101: 670, 00110: 538, 00111: 210, 01000: 243, 01001: 255, 01010: 290, 01011: 230, 01100: 440, 01101: 270, 01110: 191, 01111: 69}
